"VM","PowerState","DNSName","IPAddress","HWVersion","GuestOSVMTools","GuestOSConfigFile","GuestFamily","CPUSockets","CPUCores","IsUseMB","ProvisionedMB","UnsharedMB","Memory","VMToolsStatus","CBT","Snapshot","Template","Path","ID","vCenter"
"old_intersight-appliance","poweredOff","intersight-appliance.puretec.purestorage.com",,"vmx-10","CentOS 7 (64-bit)","CentOS 4/5/6/7 (64-bit)","linuxGuest","16","16","92863717004","571605770329","92861890560","32768","toolsNotRunning","False","False","False","[SmartConfig-Veeam] old_intersight-appliance/old_intersight-appliance.vmx","vm-1814","flashstack-vcenter.puretec.purestorage.com"
"record-jump","poweredOn","record-jump","192.168.56.1","vmx-19","Microsoft Windows 10 (64-bit)","Microsoft Windows 10 (64-bit)","windowsGuest","4","8","366918620386","610221807932","357992235008","8192","toolsOk","False","False","False","[FlashStack-Misc] record-jump/record-jump.vmx","vm-1815","flashstack-vcenter.puretec.purestorage.com"
"ubuntu-transfer-01","poweredOn","ubuntu-transfer-01","10.21.116.139","vmx-19","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","linuxGuest","4","4","81691629528","81691630064","64424509440","16384","toolsOk","False","False","False","[dx-esxi-ds-temp] ubuntu-transfer-01/ubuntu-transfer-01.vmx","vm-1833","flashstack-vcenter.puretec.purestorage.com"
"ubuntu-transfer-02","poweredOn","ubuntu-transfer-02","10.21.116.69","vmx-19","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","linuxGuest","4","4","81691627551","81691628087","64424509440","16384","toolsOk","False","False","False","[dx-esxi-ds-temp] ubuntu-transfer-02/ubuntu-transfer-02.vmx","vm-1836","flashstack-vcenter.puretec.purestorage.com"
"ubuntu-transfer-03","poweredOn","ubuntu-transfer-03","10.21.116.140","vmx-19","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","linuxGuest","4","4","81691627663","81691628199","64424509440","16384","toolsOk","False","False","False","[dx-esxi-ds-temp] ubuntu-transfer-03/ubuntu-transfer-03.vmx","vm-1837","flashstack-vcenter.puretec.purestorage.com"
"ubuntu-transfer-big","poweredOn","ubuntu-transfer-big","10.21.116.70","vmx-19","Ubuntu Linux (64-bit)","Ubuntu Linux (64-bit)","linuxGuest","8","8","163300213428","163300213966","128849018880","32768","toolsOk","False","False","False","[dx-esxi-ds-temp] ubuntu-transfer-big/ubuntu-transfer-big.vmx","vm-1838","flashstack-vcenter.puretec.purestorage.com"
"VBRReady","poweredOff",,,"vmx-17",,"Ubuntu Linux (64-bit)",,"2","2","5168695328","968713461338","5168431104","2048","toolsNotRunning","False","False","False","[FlashStack-Misc] VBRReady/VBRReady.vmx","vm-1841","flashstack-vcenter.puretec.purestorage.com"
"fs-vrlscm","poweredOn","fs-vrlscm.fslab.local","10.21.210.50","vmx-10","VMware Photon OS (64-bit)","Other 3.x or later Linux (64-bit)","linuxGuest","2","2","100036122893","215422480588","93507813376","6144","toolsOk","False","True","False","[FlashStack-Misc] fs-vrlscm/fs-vrlscm.vmx","vm-185","flashstack-vcenter.puretec.purestorage.com"
"anisblesim-node2","poweredOn","localhost.localdomain","10.21.210.20","vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)","linuxGuest","2","2","45182521935","45182522468","42949672960","2048","toolsOk","False","False","False","[FlashStack-Prod] anisblesim-node2/anisblesim-node2.vmx","vm-1874","flashstack-vcenter.puretec.purestorage.com"
"rheltemplate-fslab","poweredOff",,,"vmx-19","Red Hat Enterprise Linux 8 (64-bit)","Red Hat Enterprise Linux 8 (64-bit)",,"2","2","42952743144","88276802974","42951770112","2048","toolsNotRunning","False","True","True","[FlashStack-Prod] rheltemplate-fslab/rheltemplate-fslab.vmtx","vm-1876","flashstack-vcenter.puretec.purestorage.com"
"Aditya-jumpbox","poweredOn","Aditya-jumpbox.fslab.local","10.21.210.11","vmx-19","Microsoft Windows Server 2019 (64-bit)","Microsoft Windows Server 2019 (64-bit)","windowsGuest","2","4","101017923451","101017923984","96636764160","4096","toolsOk","False","False","False","[FlashStack-Misc] Aditya-jumpbox/Aditya-jumpbox.vmx","vm-198","flashstack-vcenter.puretec.purestorage.com"
