"VM","PowerState","Template","Disk","CapacityMB","Raw","DiskMode","Path","Host","vCenter"
"mssql-test-1.puretec.purestorage.com","poweredOn","False","Hard disk 2","153600","False","persistent","[FlashStack-Misc] mssql-test-1.puretec.purestorage.com/mssql-test-1.puretec.purestorage.com_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Win-424","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] Win-424/Win-424.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 1","25600","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 2","25600","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 3","51200","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_2.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 4","153600","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_3.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 5","102400","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_4.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 6","30720","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_5.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 7","61440","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_6.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"intersight-appliance","poweredOff","False","Hard disk 8","61440","False","persistent","[FlashStack-Prod] intersight-appliance/intersight-appliance_7.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Win-438","poweredOn","False","Hard disk 1","102400","False","persistent","[FlashStack-Prod] Win-438/Win-438.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test-Template","poweredOff","True","Hard disk 1","40960","False","persistent","[FlashStack-Misc] Rhel-Test-Template/Rhel-Test-Template.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"Rhel-Test-Template","poweredOff","True","Hard disk 2","51200","False","persistent","[FlashStack-Misc] Rhel-Test-Template/Rhel-Test-Template_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-447","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-447/host-447.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-447","poweredOn","False","Hard disk 2","51200","False","persistent","[FlashStack-Prod] host-447/host-447_1.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-484","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-484/host-484.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-482","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-482/host-482.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
"host-483","poweredOn","False","Hard disk 1","40960","False","persistent","[FlashStack-Prod] host-483/host-483.vmdk",,"flashstack-vcenter.puretec.purestorage.com"
